Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
CasR_1_CAS-I-II-III-IV-V-VI	contig_1_768	510	218	0.015	11.6	877563	879092	contig_1	768	0.060784313725490195	0.13761467889908258	-1
TPR_1_CAS-III-B	contig_1_787	299	537	0.0061	12.5	897620	898516	contig_1	787	0.3076923076923077	0.16945996275605213	1
AbiEii_0_CAS-III	contig_1_799	557	284	1.6e-06	25.1	909175	910845	contig_1	799	0.24416517055655296	0.4225352112676056	-1
tm_4_0_CAS-VI-B	contig_1_809	251	225	0.0014	15.9	918776	919528	contig_1	809	0.3346613545816733	0.3688888888888889	-1
Csm2gr11_1_CAS-III-A	contig_1_819	625	192	4.1	4.5	930597	932471	contig_1	819	0.28	0.4270833333333333	1
AbiEii_0_CAS-III	contig_1_851	696	284	9.1e-07	25.9	974355	976442	contig_1	851	0.28160919540229884	0.44014084507042256	-1
Csm3_1_IIID	contig_1_865	330	257	0.0043	13.8	989160	990149	contig_1	865	0.2636363636363636	0.33073929961089493	-1
Csm3gr7_8_CAS-III-A-III-D	contig_1_865	330	256	0.001	15.7	989160	990149	contig_1	865	0.26666666666666666	0.33203125	-1
Csn2_3_CAS-II-A	contig_1_866	258	219	0.0068	13.3	990151	990924	contig_1	866	0.23255813953488372	0.2648401826484018	1
AbiEii_0_CAS-III	contig_1_870	325	284	0.0059	13.4	993396	994370	contig_1	870	0.4646153846153846	0.5070422535211268	-1
AbiEii_0_CAS-III	contig_1_871	322	284	0.0059	13.4	994367	995332	contig_1	871	0.37888198757763975	0.4225352112676056	-1
AbiEii_0_CAS-III	contig_1_882	266	284	0.012	12.4	1009864	1010661	contig_1	882	0.38721804511278196	0.3345070422535211	1
AbiEii_0_CAS-III	contig_1_889	250	284	3.8e-05	20.6	1017261	1018010	contig_1	889	0.588	0.5	1
Cas12f1_0_CAS-V-F	contig_1_904	378	512	1.5e-07	27.8	1032649	1033782	contig_1	904	0.5740740740740741	0.44921875	-1
Cas12f1_2_CAS-V-F	contig_1_904	378	429	3.6e-16	56.3	1032649	1033782	contig_1	904	0.8386243386243386	0.7482517482517482	-1
Cas12f2_0_CAS-V-F	contig_1_904	378	517	3.2000000000000003e-27	92.5	1032649	1033782	contig_1	904	0.5952380952380952	0.46034816247582205	-1
Cas12f2_1_CAS-V-F	contig_1_904	378	422	3.4999999999999996e-43	145.4	1032649	1033782	contig_1	904	0.8201058201058201	0.7582938388625592	-1
Cas12f2_2_CAS-V-F	contig_1_904	378	493	1.7e-29	100.0	1032649	1033782	contig_1	904	0.5846560846560847	0.486815415821501	-1
Cas12f3_0_CAS-V-F	contig_1_904	378	496	2.6999999999999997e-25	86.4	1032649	1033782	contig_1	904	0.5873015873015873	0.45161290322580644	-1
Cas12f7_0_CAS-V-F	contig_1_904	378	566	2.7e-11	40.1	1032649	1033782	contig_1	904	0.5	0.3374558303886926	-1
Cas12m_0_V-M	contig_1_904	378	577	5e-11	38.9	1032649	1033782	contig_1	904	0.4708994708994709	0.3362218370883882	-1
TnpB_0_Competitive	contig_1_904	378	400	1.1e-39	133.6	1032649	1033782	contig_1	904	0.6587301587301587	0.61	-1
TnpB_1_Competitive	contig_1_904	378	409	7.9e-45	150.5	1032649	1033782	contig_1	904	0.5555555555555556	0.49877750611246946	-1
Cas5_0_CAS-I-F	contig_1_931	544	336	0.0038	13.7	1064764	1066395	contig_1	931	0.16544117647058823	0.2648809523809524	1
Cas6_2_CAS-I-II-III-IV-V-VI	contig_1_956	153	193	0.034	11.4	1096569	1097027	contig_1	956	0.6013071895424836	0.38341968911917096	1
CorA_0_CAS-III-B-III-D	contig_1_971	345	551	7.2e-06	22.1	1115165	1116199	contig_1	971	0.263768115942029	0.19237749546279492	1
Cas3_0_CAS-I	contig_1_1011	598	353	1.3e-10	38.1	1165596	1167389	contig_1	1011	0.36789297658862874	0.6118980169971672	-1
Cas3_0_I	contig_1_1011	598	358	2.3e-09	33.9	1165596	1167389	contig_1	1011	0.36789297658862874	0.61731843575419	-1
Cas3_0_ID	contig_1_1011	598	357	0.00053	16.3	1165596	1167389	contig_1	1011	0.19899665551839466	0.31092436974789917	-1
Cas3_1_CAS-I	contig_1_1011	598	745	0.0017	13.9	1165596	1167389	contig_1	1011	0.3177257525083612	0.26040268456375837	-1
Cas3_1_CAS-I-D	contig_1_1011	598	353	2.7e-05	20.6	1165596	1167389	contig_1	1011	0.1688963210702341	0.2804532577903683	-1
Cas3_2_CAS-I	contig_1_1011	598	967	0.00027	16.3	1165596	1167389	contig_1	1011	0.24581939799331104	0.15408479834539815	-1
Cas3d_0_CAS-I-D	contig_1_1011	598	639	6.8e-06	21.9	1165596	1167389	contig_1	1011	0.2040133779264214	0.19248826291079812	-1
Cas3d_1_CAS-I-D	contig_1_1011	598	627	2.1e-06	23.5	1165596	1167389	contig_1	1011	0.22742474916387959	0.21212121212121213	-1
Cas12f2_1_CAS-V-F	contig_1_1017	85	422	0.0038	13.5	1177109	1177363	contig_1	1017	0.43529411764705883	0.08767772511848342	-1
AbiEii_0_CAS-III	contig_1_1030	299	284	3.5e-07	27.2	1189724	1190620	contig_1	1030	0.33444816053511706	0.28169014084507044	-1
Cas3_0_CAS-I	contig_1_1041	936	353	2.5e-07	27.3	1202623	1205430	contig_1	1041	0.11538461538461539	0.29461756373937675	1
Cas3_0_I	contig_1_1041	936	358	6.1e-09	32.6	1202623	1205430	contig_1	1041	0.12393162393162394	0.3240223463687151	1
DEDDh_0_CAS-I-II-III-IV-V-VI	contig_1_1057	227	160	2.3e-43	145.3	1223558	1224238	contig_1	1057	0.6784140969162996	0.99375	1
AbiEii_0_CAS-III	contig_1_1065	253	284	8e-08	29.3	1230370	1231128	contig_1	1065	0.3952569169960474	0.3380281690140845	1
AbiEii_1_CAS-III-A	contig_1_1065	253	335	0.0026	14.1	1230370	1231128	contig_1	1065	0.308300395256917	0.2417910447761194	1
Cas9_0_II-C2	contig_1_1070	429	967	6.4e-14	48.2	1235901	1237187	contig_1	1070	0.30536130536130535	0.13029989658738367	-1
Cas9_0_II	contig_1_1070	429	830	0.00025	16.7	1235901	1237187	contig_1	1070	0.19347319347319347	0.10843373493975904	-1
Cas9_0_II-D	contig_1_1070	429	853	2.3e-27	92.9	1235901	1237187	contig_1	1070	0.3916083916083916	0.21219226260257915	-1
AbiEii_0_CAS-III	contig_1_1080	226	284	8.1e-06	22.7	1247929	1248606	contig_1	1080	0.415929203539823	0.3485915492957746	-1
Csn2_7_CAS-II-A	contig_1_1080	226	372	0.031	10.4	1247929	1248606	contig_1	1080	0.3893805309734513	0.23655913978494625	-1
Unk_02_0_CAS-III-A	contig_1_1080	226	305	0.0075	12.9	1247929	1248606	contig_1	1080	0.19469026548672566	0.14426229508196722	-1
Csx3_2_CAS-I-III	contig_1_1084	334	277	0.00054	16.3	1251786	1252787	contig_1	1084	0.08682634730538923	0.10469314079422383	-1
Cas5_1_CAS-I	contig_1_1086	163	241	0.0077	13.1	1254760	1255248	contig_1	1086	0.4539877300613497	0.31950207468879666	-1
AbiEii_0_CAS-III	contig_1_1090	461	284	0.0018	15.1	1258004	1259386	contig_1	1090	0.1561822125813449	0.2746478873239437	1
Csx3_2_CAS-I-III	contig_1_1090	461	277	0.0015	14.9	1258004	1259386	contig_1	1090	0.10845986984815618	0.18050541516245489	1
AbiEii_1_CAS-III-A	contig_1_1124	634	335	0.0051	13.1	1304876	1306777	contig_1	1124	0.05362776025236593	0.09850746268656717	-1
AbiEii_0_CAS-III	contig_1_1190	617	284	1.8e-07	28.2	1380371	1382221	contig_1	1190	0.1507293354943274	0.323943661971831	-1
AbiEii_1_CAS-III-A	contig_1_1190	617	335	9.3e-07	25.4	1380371	1382221	contig_1	1190	0.31442463533225284	0.5940298507462687	-1
AbiEii_2_CAS-III-C	contig_1_1190	617	440	3.2e-09	33.7	1380371	1382221	contig_1	1190	0.17179902755267423	0.25	-1
AbiEii_0_CAS-III	contig_1_1218	247	284	6e-09	33.0	1411857	1412597	contig_1	1218	0.5060728744939271	0.4119718309859155	1
Csn2_7_CAS-II-A	contig_1_1218	247	372	0.001	15.3	1411857	1412597	contig_1	1218	0.6477732793522267	0.44086021505376344	1
Csx3_2_CAS-I-III	contig_1_1218	247	277	0.0034	13.7	1411857	1412597	contig_1	1218	0.08906882591093117	0.07942238267148015	1
Cas4_0_CAS-I-II-III-IV-V-VI	contig_1_1237	930	179	2.4e-05	21.8	1428899	1431688	contig_1	1237	0.1053763440860215	0.5418994413407822	1
Cas4_0_I-II	contig_1_1237	930	180	1.6e-05	21.9	1428899	1431688	contig_1	1237	0.10752688172043011	0.5611111111111111	1
Cas4_0_I-II-V	contig_1_1237	930	177	0.0054	13.9	1428899	1431688	contig_1	1237	0.07204301075268817	0.3728813559322034	1
Cas4_3_CAS-I-II-III-IV-V-VI	contig_1_1237	930	197	0.0086	13.3	1428899	1431688	contig_1	1237	0.07741935483870968	0.350253807106599	1
Csa5gr11_1_CAS-I-A	contig_1_1268	321	100	0.015	12.7	1472067	1473029	contig_1	1268	0.2554517133956386	0.77	-1
Csx21_0_CAS-III-A	contig_1_1269	588	210	0.018	11.6	1473418	1475181	contig_1	1269	0.08673469387755102	0.24285714285714285	1
Csx21_0_CAS-III-A-III-D	contig_1_1269	588	210	0.0087	12.7	1473418	1475181	contig_1	1269	0.08843537414965986	0.24761904761904763	1
AbiEii_0_CAS-III	contig_1_1275	287	284	0.0002	18.2	1479838	1480698	contig_1	1275	0.2508710801393728	0.23943661971830985	-1
AbiEii_1_CAS-III-A	contig_1_1275	287	335	3e-05	20.5	1479838	1480698	contig_1	1275	0.30313588850174217	0.2656716417910448	-1
Cmr4_1_IIIB	contig_1_1307	174	281	0.0089	12.8	1518211	1518732	contig_1	1307	0.7068965517241379	0.40213523131672596	1
CorA_1_CAS-III-B	contig_1_1314	865	125	8.8	3.4	1525006	1527600	contig_1	1314	0.13410404624277455	0.648	1
SSgr11_0_CAS-III-F	contig_1_1316	168	197	0.00049	17.1	1528601	1529104	contig_1	1316	0.6488095238095238	0.5329949238578681	1
TPR_1_CAS-III-B	contig_1_1329	421	537	0.01	11.8	1547121	1548383	contig_1	1329	0.37292161520190026	0.29236499068901306	-1
Cas3_0_CAS-I	contig_1_1330	709	353	3.1e-06	23.7	1548443	1550569	contig_1	1330	0.3314527503526093	0.49575070821529743	-1
Cas3_0_I	contig_1_1330	709	358	3.5e-06	23.5	1548443	1550569	contig_1	1330	0.3638928067700987	0.4748603351955307	-1
Cas3_0_ID	contig_1_1330	709	357	0.00017	17.9	1548443	1550569	contig_1	1330	0.15514809590973203	0.29971988795518206	-1
Cas3_1_CAS-I	contig_1_1330	709	745	5.2e-05	18.9	1548443	1550569	contig_1	1330	0.33991537376586745	0.3409395973154362	-1
Cas3_1_CAS-I-D	contig_1_1330	709	353	0.00046	16.5	1548443	1550569	contig_1	1330	0.15796897038081806	0.3087818696883853	-1
Csf4_1_IVA1	contig_1_1330	709	802	8.5e-06	21.3	1548443	1550569	contig_1	1330	0.10578279266572638	0.09725685785536159	-1
Cas12f1_0_CAS-V-F	contig_1_1386	383	512	8.1e-08	28.7	1607083	1608231	contig_1	1386	0.566579634464752	0.44921875	-1
Cas12f1_2_CAS-V-F	contig_1_1386	383	429	2.8e-15	53.4	1607083	1608231	contig_1	1386	0.8302872062663186	0.7505827505827506	-1
Cas12f2_0_CAS-V-F	contig_1_1386	383	517	1.5999999999999999e-29	100.0	1607083	1608231	contig_1	1386	0.587467362924282	0.46034816247582205	-1
Cas12f2_1_CAS-V-F	contig_1_1386	383	422	7.4e-42	141.0	1607083	1608231	contig_1	1386	0.6684073107049608	0.6208530805687204	-1
Cas12f2_2_CAS-V-F	contig_1_1386	383	493	1.2e-28	97.2	1607083	1608231	contig_1	1386	0.5430809399477807	0.46247464503042596	-1
Cas12f3_0_CAS-V-F	contig_1_1386	383	496	4.2e-25	85.8	1607083	1608231	contig_1	1386	0.5796344647519582	0.44556451612903225	-1
Cas12f7_0_CAS-V-F	contig_1_1386	383	566	1.1e-11	41.4	1607083	1608231	contig_1	1386	0.49869451697127937	0.3409893992932862	-1
Cas12m_0_V-M	contig_1_1386	383	577	6.3e-10	35.3	1607083	1608231	contig_1	1386	0.4386422976501306	0.3188908145580589	-1
TnpB_0_Competitive	contig_1_1386	383	400	1.8999999999999998e-39	132.9	1607083	1608231	contig_1	1386	0.6475195822454308	0.6075	-1
TnpB_1_Competitive	contig_1_1386	383	409	1.4e-44	149.7	1607083	1608231	contig_1	1386	0.5456919060052219	0.4963325183374083	-1
Cas4_5_CAS-I-II-III-IV-V-VI	contig_1_1441	107	161	6e-05	20.4	1668433	1668753	contig_1	1441	0.5794392523364486	0.37888198757763975	1
Cas4_5_CAS-I-II-III-IV-V-VI	contig_1_1452	107	161	9.7e-05	19.7	1675582	1675902	contig_1	1452	0.5794392523364486	0.37888198757763975	1
Mem_DnaJ_0_CAS-III-AM	contig_1_1491	132	284	0.0053	13.3	1717670	1718065	contig_1	1491	0.2803030303030303	0.13028169014084506	-1
DEDDh_0_CAS-I-II-III-IV-V-VI	contig_1_1504	938	160	6.8e-10	36.5	1729739	1732552	contig_1	1504	0.1279317697228145	0.825	-1
AbiEii_0_CAS-III	contig_1_1507	224	284	0.012	12.4	1735014	1735685	contig_1	1507	0.3392857142857143	0.2640845070422535	-1
AbiEii_0_CAS-III	contig_1_1510	229	284	3e-06	24.2	1737845	1738531	contig_1	1510	0.3318777292576419	0.2605633802816901	-1
CasR_0_CAS-I-II-III-IV-V-VI	contig_1_1539	165	198	0.0016	15.2	1766419	1766913	contig_1	1539	0.41818181818181815	0.3434343434343434	1
CasR_1_CAS-I-II-III-IV-V-VI	contig_1_1539	165	218	0.00035	17.0	1766419	1766913	contig_1	1539	0.4484848484848485	0.3211009174311927	1
AbiEii_0_CAS-III	contig_1_1556	366	284	0.0056	13.4	1785723	1786820	contig_1	1556	0.26229508196721313	0.3345070422535211	-1
Cas11b_0_CAS-I-B	contig_1_1560	293	170	0.018	12.0	1789333	1790211	contig_1	1560	0.515358361774744	0.5352941176470588	-1
SSgr11_0_CAS-III-F	contig_1_1573	156	197	0.00082	16.3	1802451	1802918	contig_1	1573	0.6666666666666666	0.49238578680203043	1
Cas9_0_II-C2	contig_1_1579	429	967	6.4e-14	48.2	1808671	1809957	contig_1	1579	0.30536130536130535	0.13029989658738367	1
Cas9_0_II	contig_1_1579	429	830	0.00025	16.7	1808671	1809957	contig_1	1579	0.19347319347319347	0.10843373493975904	1
Cas9_0_II-D	contig_1_1579	429	853	2.3e-27	92.9	1808671	1809957	contig_1	1579	0.3916083916083916	0.21219226260257915	1
AbiEii_0_CAS-III	contig_1_1637	247	284	0.013	12.2	1872551	1873291	contig_1	1637	0.3157894736842105	0.2676056338028169	1
AbiEii_1_CAS-III-A	contig_1_1637	247	335	0.0025	14.2	1872551	1873291	contig_1	1637	0.3562753036437247	0.25970149253731345	1
Cas12f1_0_CAS-V-F	contig_1_1639	389	512	1.6e-06	24.4	1874052	1875218	contig_1	1639	0.5629820051413882	0.453125	1
Cas12f1_2_CAS-V-F	contig_1_1639	389	429	1.6e-15	54.2	1874052	1875218	contig_1	1639	0.8817480719794345	0.8065268065268065	1
Cas12f2_0_CAS-V-F	contig_1_1639	389	517	7.8e-26	87.9	1874052	1875218	contig_1	1639	0.5655526992287918	0.4506769825918762	1
Cas12f2_1_CAS-V-F	contig_1_1639	389	422	7.499999999999999e-43	144.3	1874052	1875218	contig_1	1639	0.7840616966580977	0.7369668246445498	1
Cas12f2_2_CAS-V-F	contig_1_1639	389	493	2.7e-29	99.3	1874052	1875218	contig_1	1639	0.5784061696658098	0.4949290060851927	1
Cas12f3_0_CAS-V-F	contig_1_1639	389	496	5.7e-23	78.7	1874052	1875218	contig_1	1639	0.5886889460154242	0.4717741935483871	1
Cas12f7_0_CAS-V-F	contig_1_1639	389	566	3.4e-11	39.8	1874052	1875218	contig_1	1639	0.5295629820051414	0.3621908127208481	1
Cas12m_0_V-M	contig_1_1639	389	577	1.8e-10	37.1	1874052	1875218	contig_1	1639	0.455012853470437	0.3344887348353553	1
TnpB_0_Competitive	contig_1_1639	389	400	2.3999999999999998e-39	132.6	1874052	1875218	contig_1	1639	0.6375321336760925	0.6075	1
TnpB_1_Competitive	contig_1_1639	389	409	1.5e-45	152.8	1874052	1875218	contig_1	1639	0.5475578406169666	0.5061124694376528	1
Cas9_0_II	contig_1_1642	1115	830	1.8e-80	268.6	1876713	1880057	contig_1	1642	0.8089686098654708	0.9722891566265061	1
Cas9_0_II-D	contig_1_1642	1115	853	9.7e-19	64.4	1876713	1880057	contig_1	1642	0.32825112107623317	0.4536928487690504	1
Cas9_1_II	contig_1_1642	1115	1120	1.7e-59	199.1	1876713	1880057	contig_1	1642	0.7775784753363228	0.75625	1
Cas2_0_CAS-I-II-III-IV-V-VI	contig_1_1643	114	90	1.1e-15	55.0	1880683	1881024	contig_1	1643	0.7456140350877193	0.9	-1
