	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_25	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	25	26929	27786	-1	D			MER0154838	S09X	MER0154838 - YfhR protein ({Escherichi coli}) (Geobacter sp. FRC-32) [S09.A36]#S09X#{peptidase unit: 3-277}~source ACM21604~	False	0.434	207.0	5.384e-58	Serine aminopeptidase, S33 [PF12146.11]; Chlamydia CHLPS protein (DUF818) [PF05677.15]; Prolyl oligopeptidase family [PF00326.24]; X-Pro dipeptidyl-peptidase (S15 family) [PF02129.21]; BD-FAE [PF20434.1]; Alpha/beta hydrolase family [PF12697.10]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_26	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	26	27811	28419	-1	C	K00798	cob(I)alamin adenosyltransferase [EC:2.5.1.17]								Cobalamin adenosyltransferase [PF01923.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_27	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	27	28451	29377	-1	C	K23536	general nucleoside transport system permease protein								Branched-chain amino acid transport system / permease component [PF02653.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_28	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	28	29364	30404	-1	C	K23535	general nucleoside transport system permease protein								Branched-chain amino acid transport system / permease component [PF02653.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_29	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	29	30401	32032	-1	C	K23537	general nucleoside transport system ATP-binding protein								ABC transporter [PF00005.30]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_30	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	30	32065	33108	-1	C	K07335	basic membrane protein A and related proteins								ABC transporter substrate-binding protein PnrA-like [PF02608.17]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_31	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	31	33116	33268	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_32	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	32	33268	33507	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_33	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	33	33537	34628	-1	C	K07335	basic membrane protein A and related proteins								ABC transporter substrate-binding protein PnrA-like [PF02608.17]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_34	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	34	35132	35590	1	C	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]								MafB19-like deaminase [PF14437.9]; Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_35	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	35	35882	36706	1	D										Nucleotidyl transferase [PF00483.26]; MobA-like NTP transferase domain [PF12804.10]; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [PF01128.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_36	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	36	36716	38566	1	C	K00820	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	MER0058023	C44	MER0058023 - family C44 non-peptidase homologues (Pelobacter carbinolicus) [C44.UNW]#C44#{peptidase unit: 2-233}~source YP_357216~	False	0.534	243.0	6.717e-66	Glutamine amidotransferase domain [PF13522.9]; SIS domain [PF01380.25]; Glutamine amidotransferases class-II [PF13230.9]; Glutamine amidotransferase domain [PF13537.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_37	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	37	38732	39106	1	D										Domain of unknown function (DUF1924) [PF09086.14]					1
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_38	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	38	39145	39771	1	D										Prokaryotic cytochrome b561 [PF01292.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_39	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	39	39788	40261	1	C	K01734	methylglyoxal synthase [EC:4.2.3.3]													0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_40	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	40	40262	42514	-1	C	K07180	serine protein kinase								PrkA AAA domain [PF08298.14]; PrkA serine protein kinase C-terminal domain [PF06798.15]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_41	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	41	42694	43995	1	C	K07175	PhoH-like ATPase								PhoH-like protein [PF02562.19]; PIN domain [PF13638.9]; AAA domain [PF13245.9]; AAA domain [PF13604.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_42	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	42	44013	44915	-1	C	K03497	ParB family transcriptional regulator, chromosome partitioning protein								ParB/Sulfiredoxin domain [PF02195.21]; HTH domain found in ParB protein [PF17762.4]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_43	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	43	45447	45569	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_44	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	44	45780	45902	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_45	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	45	46113	46235	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_46	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	46	46949	47791	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_47	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	47	47995	48996	1	C	K02109	F-type H+-transporting ATPase subunit b								ATP synthase B/B' CF(0) [PF00430.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_48	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	48	49028	49594	1	C	K02113	F-type H+-transporting ATPase subunit delta								ATP synthase delta (OSCP) subunit [PF00213.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_49	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	49	49606	51132	1	C	K02111	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]								ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.28]; ATP synthase alpha/beta chain, C terminal domain [PF00306.30]; ATP synthase alpha/beta family, beta-barrel domain [PF02874.26]; Photosystem I psaA/psaB protein [PF00223.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_50	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	50	51116	52054	1	C	K02115	F-type H+-transporting ATPase subunit gamma								ATP synthase [PF00231.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_51	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	51	52076	53491	1	C	K02112	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]								ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.28]; ATP synthase alpha/beta family, beta-barrel domain [PF02874.26]; T3SS EscN ATPase C-terminal domain [PF18269.4]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_52	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	52	53509	53964	1	C	K02114	F-type H+-transporting ATPase subunit epsilon								ATP synthase, Delta/Epsilon chain, beta-sandwich domain [PF02823.19]; ATP synthase, Delta/Epsilon chain, long alpha-helix domain [PF00401.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_53	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	53	54092	55522	1	D										Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_54	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	54	55571	56533	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_55	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	55	56516	58294	-1	C	K03531	cell division protein FtsZ								FtsZ family, C-terminal domain [PF12327.11]; Tubulin/FtsZ family, GTPase domain [PF00091.28]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_56	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	56	58336	59643	-1	C	K03590	cell division protein FtsA								Cell division protein FtsA [PF14450.9]; MreB/Mbl protein [PF06723.16]; SHS2 domain inserted in FTSA [PF02491.23]; Type IV pilus assembly protein PilM; [PF11104.11]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_57	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	57	59748	60848	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_58	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	58	60835	62244	-1	C	K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]								Mur ligase middle domain [PF08245.15]; Mur ligase family, catalytic domain [PF01225.28]; Mur ligase family, glutamate ligase domain [PF02875.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_59	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	59	62271	63455	-1	C	K03588	cell division protein FtsW								Cell cycle protein [PF01098.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_60	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	60	63442	65040	-1	D										Mur ligase middle domain [PF08245.15]; Putative NAD(P)-binding [PF13241.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_61	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	61	65053	66168	-1	C	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]								Glycosyl transferase family 4 [PF00953.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_62	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	62	66165	67850	-1	C	K01928	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]								Mur ligase middle domain [PF08245.15]; Mur ligase family, glutamate ligase domain [PF02875.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_63	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	63	67871	69715	-1	C	K03587	cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]								Penicillin binding protein transpeptidase domain [PF00905.25]; Penicillin-binding Protein dimerisation domain [PF03717.18]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_64	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	64	69728	70027	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_65	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	65	70031	71104	-1	C	K03438	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]								MraW methylase family [PF01795.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_66	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	66	71278	72021	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_67	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	67	72026	73027	-1	D										Nucleotidyl transferase [PF00483.26]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_68	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	68	73037	74134	-1	C	K07102	N-acetylmuramate 1-kinase [EC:2.7.1.221]								Phosphotransferase enzyme family [PF01636.26]; Ecdysteroid kinase-like family [PF02958.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_69	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	69	74255	76714	1	C	K03701	excinuclease ABC subunit A								UvrA interaction domain [PF17760.4]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_70	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	70	76873	77979	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_71	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	71	78228	78728	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_72	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	72	78752	79840	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_73	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	73	79935	80546	-1	C	K00859	dephospho-CoA kinase [EC:2.7.1.24]								Dephospho-CoA kinase [PF01121.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_74	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	74	80549	81523	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_75	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	75	81759	82721	-1	C	K03595	GTPase								50S ribosome-binding GTPase [PF01926.26]; KH domain [PF07650.20]; MnmE helical domain [PF12631.10]; Ferrous iron transport protein B [PF02421.21]; AIG1 family [PF04548.19]; Dynamin family [PF00350.26]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_76	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	76	82718	83545	-1	C	K03685	ribonuclease III [EC:3.1.26.3]								Ribonuclease-III-like [PF14622.9]; Ribonuclease III domain [PF00636.29]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_77	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	77	83545	84639	-1	C	K00566	tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]								tRNA methyl transferase HUP domain [PF03054.19]; Aminomethyltransferase beta-barrel domain [PF20258.1]; tRNA methyl transferase PRC-barrel domain [PF20259.1]; PP-loop family [PF01171.23]; NAD synthase [PF02540.20]; Queuosine biosynthesis protein QueC [PF06508.16]; Thiamine biosynthesis protein (ThiI) [PF02568.17]; Arginosuccinate synthase [PF00764.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_78	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	78	84643	85125	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_79	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	79	85129	86967	-1	D										Family of unknown function (DUF6178) [PF19676.2]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_80	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	80	87133	88071	1	D										Beta-lactamase superfamily domain [PF12706.10]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_81	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	81	88157	90088	1	C	K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]								Exonuclease [PF00929.27]; 3'-5' exoribonuclease Rv2179c-like domain [PF16473.8]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_82	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	82	90085	90552	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_83	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	83	90775	91830	1	D										SurA N-terminal domain [PF09312.14]; SurA N-terminal domain [PF13624.9]; PPIC-type PPIASE domain [PF00639.24]; PPIC-type PPIASE domain [PF13616.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_84	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	84	91833	92375	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_85	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	85	92454	92615	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_86	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	86	93083	94675	-1	D										Amino acid permease [PF13520.9]; Amino acid permease [PF00324.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_87	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	87	94824	95801	1	D										RNA pseudouridylate synthase [PF00849.25]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_88	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	88	95920	97152	1	C	K00031	isocitrate dehydrogenase [EC:1.1.1.42]								Isocitrate/isopropylmalate dehydrogenase [PF00180.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_89	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	89	97263	98705	-1	C	K01167	ribonuclease T1 [EC:4.6.1.24]								ribonuclease [PF00545.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_90	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	90	99741	100874	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_91	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	91	100871	101392	-1	D										Domain of unknown function (DUF4365) [PF14280.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_92	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	92	101475	102272	-1	C	K06940	uncharacterized protein								Putative zinc- or iron-chelating domain [PF03692.18]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_93	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	93	102523	103548	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_94	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	94	103763	104758	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_95	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	95	104771	105781	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_96	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	96	105788	106768	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_97	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	97	106735	109041	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; GHKL domain [PF14501.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_98	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	98	109038	109916	-1	D										Carbon-nitrogen hydrolase [PF00795.25]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_99	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	99	109930	110949	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_100	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	100	111274	113445	1	C	K13598	two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]								Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; HAMP domain [PF00672.28]; His Kinase A (phospho-acceptor) domain [PF00512.28]					0
