# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Spiro2_00300        K01000  181.27  401.5  5.1e-121 phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
* Spiro2_00305        K01928  405.50  462.9  2.1e-139 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
* Spiro2_00310        K03587  455.93  543.0  1.1e-163 cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]
* Spiro2_00335        K07102  150.80  229.4   1.4e-68 N-acetylmuramate 1-kinase [EC:2.7.1.221]
* Spiro2_00340        K03701  392.60  661.6  2.8e-199 excinuclease ABC subunit A
* Spiro2_00360        K00859   58.73  193.3   1.1e-57 dephospho-CoA kinase [EC:2.7.1.24]
* Spiro2_00370        K03595  149.20  331.7   1.3e-99 GTPase
* Spiro2_00375        K03685  164.73  172.4   2.2e-51 ribonuclease III [EC:3.1.26.3]
* Spiro2_00380        K00566  417.27  477.7  4.6e-144 tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
* Spiro2_00400        K02342  103.33  178.0   3.8e-53 DNA polymerase III subunit epsilon [EC:2.7.7.7]
* Spiro2_00400        K09951   58.87   65.0   1.2e-18 CRISPR-associated protein Cas2
* Spiro2_00435        K00031  126.60  189.8   1.2e-56 isocitrate dehydrogenase [EC:1.1.1.42]
* Spiro2_00440        K01167   42.20   52.8   8.3e-15 ribonuclease T1 [EC:4.6.1.24]
* Spiro2_00455        K06940   30.77   43.7   3.9e-12 uncharacterized protein
* Spiro2_00500        K13598  295.90  486.7  1.9e-146 two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]
* Spiro2_00505        K13599  485.23  578.1  1.6e-174 two-component system, NtrC family, nitrogen regulation response regulator NtrX
* Spiro2_00505        K02481  549.37  570.0  8.1e-172 two-component system, NtrC family, response regulator
* Spiro2_00565        K11741  109.40  129.2   2.6e-38 quaternary ammonium compound-resistance protein SugE
* Spiro2_00575        K00249  380.33  446.0  2.9e-134 acyl-CoA dehydrogenase [EC:1.3.8.7]
* Spiro2_00580        K00794   50.47  204.3   2.9e-61 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
* Spiro2_00585        K03625   91.33  126.2   2.4e-37 transcription antitermination protein NusB
* Spiro2_00625        K02259   61.70  124.6   6.8e-37 heme a synthase [EC:1.17.99.9]
* Spiro2_00655        K00789   17.90  593.2  6.2e-179 S-adenosylmethionine synthetase [EC:2.5.1.6]
* Spiro2_00675        K11753  130.67  344.5  1.4e-103 riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]
* Spiro2_00690        K03469   83.17  187.1   8.6e-56 ribonuclease HI [EC:3.1.26.4]
* Spiro2_00730        K03406   58.43  193.5   9.8e-58 methyl-accepting chemotaxis protein
* Spiro2_00735        K03406   58.43  221.5   3.4e-66 methyl-accepting chemotaxis protein
* Spiro2_00750        K02030   87.27  123.2   1.8e-36 polar amino acid transport system substrate-binding protein
* Spiro2_00755        K03406   58.43  139.3   2.6e-41 methyl-accepting chemotaxis protein
* Spiro2_00760        K03406   58.43  136.9   1.4e-40 methyl-accepting chemotaxis protein
* Spiro2_00770        K00029  316.30  337.0  3.1e-101 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
* Spiro2_00785        K21064  178.87  198.5     2e-59 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]
* Spiro2_00790        K01869  382.57 1158.7         0 leucyl-tRNA synthetase [EC:6.1.1.4]
* Spiro2_00805        K03466   58.27  581.8  2.9e-175 DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family
* Spiro2_00810        K15539   58.07   79.0   6.6e-23 cytoskeleton protein RodZ
* Spiro2_00815        K01972  105.50  484.2    1e-145 DNA ligase (NAD+) [EC:6.5.1.2]
* Spiro2_00835        K00507   72.37  281.7     2e-84 stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
* Spiro2_00855        K07056   97.00  281.5   1.6e-84 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
* Spiro2_00870        K03657  358.03  580.1  1.3e-174 ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]
* Spiro2_00875        K02654  118.70  218.3   2.4e-65 leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
* Spiro2_00880        K03664   47.80  222.7   6.9e-67 SsrA-binding protein
* Spiro2_00915        K04075  112.80  164.7   5.3e-49 tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
* Spiro2_00935        K00796  249.77  250.2   4.5e-75 dihydropteroate synthase [EC:2.5.1.15]
* Spiro2_00945        K07496   25.43  226.9   8.2e-68 putative transposase
* Spiro2_00950        K07491   16.23   44.7   2.1e-12 REP-associated tyrosine transposase
* Spiro2_01005        K02314  107.20  490.3  1.3e-147 replicative DNA helicase [EC:5.6.2.3]
* Spiro2_01015        K06942  319.10  375.2  1.1e-112 ribosome-binding ATPase
* Spiro2_01020        K10773  133.37  231.2     4e-69 endonuclease III [EC:3.2.2.- 4.2.99.18]
* Spiro2_01080        K00962  279.33  985.4  2.9e-297 polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
* Spiro2_01085        K01462   59.80  166.0   1.8e-49 peptide deformylase [EC:3.5.1.88]
* Spiro2_01115        K04744   95.87  176.8   1.2e-52 LPS-assembly protein
* Spiro2_01125        K01963  318.33  404.8  5.6e-122 acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
* Spiro2_01130        K09800  111.23  116.7   1.5e-34 translocation and assembly module TamB
* Spiro2_01200        K10027  514.23  532.9  1.7e-160 phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]
* Spiro2_01215        K22132  165.33  282.3   1.3e-84 tRNA threonylcarbamoyladenosine dehydratase
* Spiro2_01230        K03496  133.93  289.6   6.9e-87 chromosome partitioning protein
* Spiro2_01275        K04095   43.93  130.7   1.2e-38 cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]
* Spiro2_01340        K01153  177.30  799.8  7.9e-241 type I restriction enzyme, R subunit [EC:3.1.21.3]
* Spiro2_01345        K01154   44.47  112.2   4.7e-33 type I restriction enzyme, S subunit [EC:3.1.21.3]
* Spiro2_01350        K03427  113.43  475.7    4e-143 type I restriction enzyme M protein [EC:2.1.1.72]
* Spiro2_01365        K02030   87.27  140.8   8.6e-42 polar amino acid transport system substrate-binding protein
* Spiro2_01410        K03169  548.97  807.4  1.8e-243 DNA topoisomerase III [EC:5.6.2.1]
* Spiro2_01420        K04095   43.93   91.0   1.4e-26 cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]
* Spiro2_01440        K06199   26.73   79.0   5.3e-23 fluoride exporter
* Spiro2_01445        K08304  173.03  364.7  1.2e-109 membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]
* Spiro2_01465        K00138  793.93 1024.1         0 aldehyde dehydrogenase [EC:1.2.1.-]
* Spiro2_01530        K02557  140.90  208.9   1.6e-62 chemotaxis protein MotB
* Spiro2_01535        K02556   86.23  232.9     9e-70 chemotaxis protein MotA
* Spiro2_01545        K03269   65.57  128.9   2.8e-38 UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]
* Spiro2_01555        K02199  122.20  136.8   1.3e-40 cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
* Spiro2_01560        K02197   39.50  122.3   2.8e-36 cytochrome c-type biogenesis protein CcmE
* Spiro2_01570        K02195  111.17  225.7   9.7e-68 heme exporter protein C
* Spiro2_01575        K02194   51.40   80.5   9.1e-24 heme exporter protein B
* Spiro2_01590        K07259  102.27  289.3   1.1e-86 serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]
* Spiro2_01595        K03386  223.80  335.6  5.3e-101 peroxiredoxin 2/4 [EC:1.11.1.24]
* Spiro2_01600        K00995  102.20  102.2   6.1e-30 CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
* Spiro2_01610        K04079   56.47  734.2  3.7e-221 molecular chaperone HtpG
* Spiro2_01625        K06940   30.77   57.7   2.1e-16 uncharacterized protein
* Spiro2_01650        K00459  123.00  232.3   2.1e-69 nitronate monooxygenase [EC:1.13.12.16]
* Spiro2_01680        K07058   40.13  114.4   9.1e-34 membrane protein
* Spiro2_01690        K02415   30.93   78.2     1e-22 flagellar protein FliL
* Spiro2_01695        K02416   95.30  270.7   4.4e-81 flagellar motor switch protein FliM
* Spiro2_01700        K02417   67.30  144.8   6.9e-43 flagellar motor switch protein FliN
* Spiro2_01705        K02418   23.43   47.3   2.8e-13 flagellar protein FliO/FliZ
* Spiro2_01710        K02419  287.50  378.3  7.3e-114 flagellar biosynthesis protein FliP
* Spiro2_01715        K02420   87.37  113.2   7.3e-34 flagellar biosynthesis protein FliQ
* Spiro2_01720        K02421  172.50  196.3   9.4e-59 flagellar biosynthesis protein FliR
* Spiro2_01730        K02400  735.50  891.7  4.6e-269 flagellar biosynthesis protein FlhA
* Spiro2_01735        K02404  167.07  309.1   6.8e-93 flagellar biosynthesis protein FlhF
* Spiro2_01740        K04562  203.43  315.9   4.8e-95 flagellar biosynthesis protein FlhG
* Spiro2_01745        K02405  182.90  310.5   3.9e-93 RNA polymerase sigma factor FliA
* Spiro2_01750        K03413  139.13  160.5     8e-48 two-component system, chemotaxis family, chemotaxis protein CheY
* Spiro2_01765        K16868   88.07   89.9   2.5e-26 tellurite methyltransferase [EC:2.1.1.265]
* Spiro2_01780        K03699  305.27  428.5  7.5e-129 magnesium and cobalt exporter, CNNM family
* Spiro2_01785        K07042   59.93  126.7   1.7e-37 probable rRNA maturation factor
* Spiro2_01800        K03563   24.30   92.1   4.3e-27 carbon storage regulator
* Spiro2_01805        K00790  172.07  499.0    2e-150 UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
* Spiro2_01850        K03409   53.73  127.2   1.4e-37 chemotaxis protein CheX
* Spiro2_01860        K08602  130.97  263.2   7.7e-79 oligoendopeptidase F [EC:3.4.24.-]
* Spiro2_01870        K02343  235.90  442.0  5.5e-133 DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
* Spiro2_01880        K02888   29.77  108.5   6.2e-32 large subunit ribosomal protein L21
* Spiro2_01885        K02899   42.63  155.7   2.8e-46 large subunit ribosomal protein L27
* Spiro2_01890        K03979  148.03  444.0    1e-133 GTPase [EC:3.6.5.-]
* Spiro2_01895        K09710  113.47  116.8   1.4e-34 ribosome-associated protein
* Spiro2_01900        K00783   85.93  126.9   1.2e-37 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
* Spiro2_01910        K03642   41.70  154.5   6.6e-46 rare lipoprotein A
* Spiro2_01920        K06861  260.27  406.5  1.4e-122 lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]
* Spiro2_01925        K09774   59.27   60.5   2.8e-17 lipopolysaccharide export system protein LptA
* Spiro2_01945        K01241   97.40  217.5   4.4e-65 AMP nucleosidase [EC:3.2.2.4]
* Spiro2_01950        K10026   77.50  160.0   9.7e-48 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]
* Spiro2_01955        K01737   29.93   52.5   7.6e-15 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]
* Spiro2_01960        K02406  135.40  343.1  3.5e-103 flagellin
* Spiro2_01970        K22187  552.00  572.0  1.2e-172 alpha-ketoglutaric semialdehyde dehydrogenase [EC:1.2.1.-]
* Spiro2_01980        K09859  140.37  279.9   5.5e-84 uncharacterized protein
* Spiro2_01985        K00655  125.67  191.3   3.6e-57 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
* Spiro2_01995        K00797  103.50  311.0     2e-93 spermidine synthase [EC:2.5.1.16]
* Spiro2_02040        K05896   38.20  186.0   1.4e-55 segregation and condensation protein A
* Spiro2_02050        K02871   66.33  221.1   3.1e-66 large subunit ribosomal protein L13
* Spiro2_02055        K02996  103.33  186.5   1.1e-55 small subunit ribosomal protein S9
* Spiro2_02070        K25156  292.00  354.2  1.3e-106 viologen exporter family transport system ATP-binding protein
* Spiro2_02080        K01255  415.97  460.4  1.6e-138 leucyl aminopeptidase [EC:3.4.11.1]
* Spiro2_02090        K02030   87.27  133.1   1.9e-39 polar amino acid transport system substrate-binding protein
* Spiro2_02095        K07019  351.47  364.9  1.1e-109 uncharacterized protein
* Spiro2_02100        K07979  106.70  111.2   6.3e-33 GntR family transcriptional regulator
* Spiro2_02165        K04043  791.40  909.4    3e-274 molecular chaperone DnaK
* Spiro2_02170        K03975   64.70   86.4   3.3e-25 membrane-associated protein
* Spiro2_02190        K03409   53.73   65.1   1.2e-18 chemotaxis protein CheX
* Spiro2_02195        K02406  135.40  319.4   5.4e-96 flagellin
* Spiro2_02200        K02371  373.07  406.2  1.7e-122 enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]
* Spiro2_02200        K00459  123.00  275.6   1.7e-82 nitronate monooxygenase [EC:1.13.12.16]
* Spiro2_02220        K06024   48.03  194.6   2.6e-58 segregation and condensation protein B
* Spiro2_02230        K00604  252.10  305.6   8.6e-92 methionyl-tRNA formyltransferase [EC:2.1.2.9]
* Spiro2_02235        K00950   59.60   86.5   3.5e-25 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
* Spiro2_02240        K02914   23.67   73.4   1.9e-21 large subunit ribosomal protein L34
* Spiro2_02245        K03218  216.30  231.9   1.5e-69 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
* Spiro2_02250        K05810   51.63  102.7   3.2e-30 purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]
* Spiro2_02255        K03073   21.57   55.2   1.2e-15 preprotein translocase subunit SecE
* Spiro2_02260        K02601  102.10  198.9   1.4e-59 transcription termination/antitermination protein NusG
* Spiro2_02275        K00803  315.97  635.2  2.1e-191 alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]
* Spiro2_02280        K07124  228.07  290.5   2.8e-87 uncharacterized protein
* Spiro2_02300        K13356  150.30  289.9   6.9e-87 alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]
* Spiro2_02320        K01895  766.17  991.5  3.7e-299 acetyl-CoA synthetase [EC:6.2.1.1]
* Spiro2_02330        K01914  217.03  453.6  5.1e-137 aspartate--ammonia ligase [EC:6.3.1.1]
* Spiro2_02340        K00239  609.33  634.5  2.3e-191 succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
* Spiro2_02370        K07494   57.07   76.2   4.2e-22 putative transposase
* Spiro2_02385        K03075   26.43   77.1   2.6e-22 preprotein translocase subunit SecG
* Spiro2_02390        K00632  512.47  542.6  9.2e-164 acetyl-CoA acyltransferase [EC:2.3.1.16]
* Spiro2_02390        K00626  353.63  459.4  3.1e-138 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
* Spiro2_02395        K07516  371.87  788.5    1e-237 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
* Spiro2_02400        K07171   21.13   42.1   1.4e-11 mRNA interferase MazF [EC:3.1.-.-]
* Spiro2_02405        K02337  977.13 1427.2         0 DNA polymerase III subunit alpha [EC:2.7.7.7]
* Spiro2_02410        K09804   55.03   78.2   9.2e-23 uncharacterized protein
* Spiro2_02420        K08316   90.60  211.5   2.8e-63 16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
* Spiro2_02430        K07496   25.43   32.9   4.2e-09 putative transposase
* Spiro2_02480        K05794  132.70  420.3  1.3e-126 tellurite resistance protein TerC
* Spiro2_02505        K00989  196.83  400.9  8.8e-121 ribonuclease PH [EC:2.7.7.56]
* Spiro2_02525        K03568  295.30  435.2  6.2e-131 TldD protein
* Spiro2_02535        K01876  294.97  789.1  7.1e-238 aspartyl-tRNA synthetase [EC:6.1.1.12]
* Spiro2_02540        K00554  120.87  322.7   5.2e-97 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
* Spiro2_02545        K02860   35.73  102.4   5.1e-30 16S rRNA processing protein RimM
* Spiro2_02560        K00425   77.03  559.7  8.5e-169 cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]
* Spiro2_02565        K00426   33.40  384.8  6.4e-116 cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
* Spiro2_02570        K15371  288.73  442.4    6e-133 glutamate dehydrogenase [EC:1.4.1.2]
* Spiro2_02585        K00801  100.83  220.0   9.2e-66 farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]
* Spiro2_02590        K07107   62.10   75.3     1e-21 acyl-CoA thioester hydrolase [EC:3.1.2.-]
* Spiro2_02595        K01286  184.10  197.8   5.8e-59 D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]
* Spiro2_02605        K09022   95.90  199.8   8.2e-60 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
* Spiro2_02610        K03272  388.03  522.5    2e-157 D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]
* Spiro2_02635        K09125   29.10  192.8   1.2e-57 queuosine precursor transporter
* Spiro2_02640        K09125   29.10  144.5     6e-43 queuosine precursor transporter
* Spiro2_02670        K06968  113.97  420.1  2.2e-126 23S rRNA (cytidine2498-2'-O)-methyltransferase [EC:2.1.1.186]
* Spiro2_02700        K01620   99.73  215.3   2.4e-64 threonine aldolase [EC:4.1.2.48]
* Spiro2_02705        K02030   87.27  108.7   4.6e-32 polar amino acid transport system substrate-binding protein
* Spiro2_02720        K06168  441.33  569.6  8.1e-172 tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]
* Spiro2_02725        K03106  343.53  574.4  4.9e-173 signal recognition particle subunit SRP54 [EC:3.6.5.4]
* Spiro2_02730        K00645  262.60  338.0  1.6e-101 [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
* Spiro2_02735        K01265  133.77  372.1  5.7e-112 methionyl aminopeptidase [EC:3.4.11.18]
* Spiro2_02745        K07552  309.93  324.2     2e-97 MFS transporter, DHA1 family, multidrug resistance protein
* Spiro2_02755        K02391  221.97  247.1   3.7e-74 flagellar basal-body rod protein FlgF
* Spiro2_02775        K01478  125.90  379.1  3.5e-114 arginine deiminase [EC:3.5.3.6]
* Spiro2_02780        K08309  128.17  233.8   1.1e-69 soluble lytic murein transglycosylase [EC:4.2.2.-]
* Spiro2_02800        K00029  316.30  652.9  9.2e-197 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
* Spiro2_02805        K03648   67.03  350.4  2.4e-105 uracil-DNA glycosylase [EC:3.2.2.27]
* Spiro2_02820        K00865   59.40  261.8   1.8e-78 glycerate 2-kinase [EC:2.7.1.165]
* Spiro2_02825        K02078   40.47   82.2   7.4e-24 acyl carrier protein
* Spiro2_02830        K01808  182.93  211.2   2.4e-63 ribose 5-phosphate isomerase B [EC:5.3.1.6]
* Spiro2_02835        K00600   75.87  638.6  2.2e-192 glycine hydroxymethyltransferase [EC:2.1.2.1]
* Spiro2_02850        K07738   43.87  203.1   5.3e-61 transcriptional repressor NrdR
* Spiro2_02855        K00793   53.83  187.5   4.7e-56 riboflavin synthase [EC:2.5.1.9]
* Spiro2_02865        K01056   57.13  209.6   8.7e-63 peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]
* Spiro2_02870        K02897   41.73  146.1   2.1e-43 large subunit ribosomal protein L25
* Spiro2_02875        K03640  146.43  155.8   2.9e-46 peptidoglycan-associated lipoprotein
* Spiro2_02920        K03723  530.50 1127.5         0 transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]
* Spiro2_02925        K00057  281.67  380.2  2.2e-114 glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
* Spiro2_02930        K03924  112.03  382.9  3.3e-115 MoxR-like ATPase [EC:3.6.3.-]
* Spiro2_02950        K18682  107.43  598.8  1.2e-180 ribonucrease Y [EC:3.1.-.-]
* Spiro2_02955        K09769  123.47  303.1   3.1e-91 2',3'-cyclic-nucleotide 2'-phosphodiesterase [EC:3.1.4.16]
* Spiro2_02965        K24105  155.90  159.0   2.1e-47 mutual gliding-motility protein MglA
* Spiro2_02970        K01809   30.80   82.2   5.8e-24 mannose-6-phosphate isomerase [EC:5.3.1.8]
* Spiro2_02980        K03786  187.17  199.0   1.5e-59 3-dehydroquinate dehydratase II [EC:4.2.1.10]
* Spiro2_02990        K01520   50.97  136.6   1.3e-40 dUTP diphosphatase [EC:3.6.1.23]
* Spiro2_03005        K00606   85.80  364.3  1.1e-109 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
* Spiro2_03010        K03799  134.20  246.1   7.4e-74 heat shock protein HtpX [EC:3.4.24.-]
* Spiro2_03025        K03762  454.60  463.2  1.7e-139 MFS transporter, MHS family, proline/betaine transporter
* Spiro2_03065        K23779   96.07  108.9   4.5e-32 XRE family transcriptional regulator, regulator of sulfur utilization
* Spiro2_03075        K07315  144.10  196.9   7.3e-59 phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
* Spiro2_03080        K08964  118.07  122.5     4e-36 methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]
* Spiro2_03090        K08963  368.47  558.3  2.8e-168 methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
* Spiro2_03090        K00899  309.97  462.7  3.2e-139 5-methylthioribose kinase [EC:2.7.1.100]
* Spiro2_03095        K00772  291.80  352.7  3.2e-106 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
* Spiro2_03100        K00799   71.43   77.6   1.7e-22 glutathione S-transferase [EC:2.5.1.18]
* Spiro2_03110        K02358  352.30  767.3  1.1e-231 elongation factor Tu
* Spiro2_03130        K01061   92.70   93.2   3.2e-27 carboxymethylenebutenolidase [EC:3.1.1.45]
* Spiro2_03135        K04760  191.43  222.9   4.5e-67 transcription elongation factor GreB
* Spiro2_03160        K02035  245.87  284.1   3.5e-85 peptide/nickel transport system substrate-binding protein
* Spiro2_03165        K13894  371.33  406.5  1.6e-122 microcin C transport system permease protein
* Spiro2_03165        K02033  273.53  330.5   3.3e-99 peptide/nickel transport system permease protein
* Spiro2_03170        K13895  339.87  368.2  4.8e-111 microcin C transport system permease protein
* Spiro2_03170        K02034  160.37  274.2     3e-82 peptide/nickel transport system permease protein
* Spiro2_03190        K01119  359.13  637.3  5.5e-192 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]
* Spiro2_03195        K02520   39.13  235.1   1.8e-70 translation initiation factor IF-3
* Spiro2_03245        K03624  155.23  204.4   2.7e-61 transcription elongation factor GreA
* Spiro2_03255        K07106  207.00  369.5  5.1e-111 N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
* Spiro2_03270        K03470  126.23  188.6   2.2e-56 ribonuclease HII [EC:3.1.26.4]
* Spiro2_03275        K03671  113.73  138.2   6.2e-41 thioredoxin
* Spiro2_03280        K06958  146.10  340.3  1.9e-102 RNase adapter protein RapZ
* Spiro2_03290        K03092   80.47  453.8  1.1e-136 RNA polymerase sigma-54 factor
* Spiro2_03295        K02406  135.40  292.0   1.2e-87 flagellin
* Spiro2_03300        K02406  135.40  311.3   1.6e-93 flagellin
* Spiro2_03330        K00869  154.40  200.4   6.8e-60 mevalonate kinase [EC:2.7.1.36]
* Spiro2_03335        K01597  223.20  259.9   9.1e-78 diphosphomevalonate decarboxylase [EC:4.1.1.33]
* Spiro2_03345        K00054  322.33  577.3  1.1e-173 hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
* Spiro2_03380        K02030   87.27  132.7   2.4e-39 polar amino acid transport system substrate-binding protein
