##[["FCS genome report", 2, 1], {"git-rev": "v0.5.0+branch--HEAD", "run-date": "Mon Mar 18 15:02:06 2024", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.245488, "asserted-div": "anml:crustaceans", "inferred-primary-divs": ["anml:crustaceans", "anml:insects"], "corrected-primary-divs": ["anml:crustaceans", "anml:insects"]}}]
#seq_id	start_pos	end_pos	seq_len	action	div	agg_cont_cov	top_tax_name
ptg000163l	1	59130	59130	EXCLUDE	prok:CFB group bacteria	90	Flavobacterium celericrescens
ptg000164l	1	116611	116611	EXCLUDE	prok:CFB group bacteria	94	Flavobacterium sasangense
ptg000165l	1	74420	74420	EXCLUDE	prok:b-proteobacteria	92	Limnohabitans sp. Rim8
ptg000169l	1	160161	160161	EXCLUDE	prok:CFB group bacteria	98	Flavobacterium celericrescens
ptg000170l	1	42509	42509	EXCLUDE	prok:b-proteobacteria	81	Hydrogenophaga crassostreae
ptg000171l	1	23840	23840	EXCLUDE	prok:CFB group bacteria	100	Flavobacterium aquaticum
ptg000174l	1	78569	78569	EXCLUDE	prok:CFB group bacteria	82	Flavobacterium cheniae
ptg000175l	1	27529	27529	EXCLUDE	prok:CFB group bacteria	100	Flavobacterium sasangense
ptg000176l	1	25200	25200	EXCLUDE	prok:CFB group bacteria	100	Flavobacterium proteolyticum
ptg000177l	1	30043	30043	EXCLUDE	prok:CFB group bacteria	76	Flavobacterium sp. UBA7663
ptg000180l	1	51260	51260	EXCLUDE	prok:CFB group bacteria	97	Flavobacterium celericrescens
ptg000181l	1	25192	25192	EXCLUDE	prok:CFB group bacteria	97	Flavobacterium celericrescens
ptg000183l	1	36408	36408	EXCLUDE	prok:b-proteobacteria	96	Hydrogenophaga taeniospiralis
ptg000186l	1	73999	73999	EXCLUDE	prok:CFB group bacteria	96	Flavobacterium celericrescens
ptg000195l	1	134067	134067	EXCLUDE	prok:b-proteobacteria	82	Hydrogenophaga taeniospiralis
ptg000215l	1	29056	29056	EXCLUDE	prok:b-proteobacteria	75	Hydrogenophaga taeniospiralis
ptg000216l	1	51541	51541	EXCLUDE	prok:b-proteobacteria	97	Hydrogenophaga aromaticivorans
ptg000220l	1	71919	71919	EXCLUDE	prok:CFB group bacteria	87	Flavobacterium cyclinae
ptg000223l	1	87587	87587	EXCLUDE	prok:CFB group bacteria	82	Flavobacterium celericrescens
ptg000239l	1	36163	36163	EXCLUDE	prok:CFB group bacteria	86	Flavobacterium celericrescens
ptg000240l	1	34026	34026	EXCLUDE	prok:CFB group bacteria	87	Flavobacterium sp. UBA7663
ptg000241l	1	29485	29485	EXCLUDE	prok:b-proteobacteria	94	Hydrogenophaga flava
ptg000242l	1	55185	55185	EXCLUDE	prok:b-proteobacteria	96	Hydrogenophaga taeniospiralis
ptg000243l	1	77197	77197	EXCLUDE	prok:CFB group bacteria	72	Flavobacterium celericrescens
ptg000247l	1	33803	33803	EXCLUDE	prok:b-proteobacteria	90	Limnohabitans planktonicus
ptg000250l	1	44634	44634	EXCLUDE	prok:CFB group bacteria	100	Flavobacterium celericrescens
ptg000251l	1	51240	51240	EXCLUDE	prok:CFB group bacteria	97	Flavobacterium celericrescens
ptg000252l	1	32933	32933	EXCLUDE	prok:CFB group bacteria	100	Flavobacterium celericrescens
ptg000253l	1	16403	16403	EXCLUDE	prok:CFB group bacteria	100	Flavobacterium sp. UBA7663
ptg000255l	1	20081	20081	EXCLUDE	prok:CFB group bacteria	87	Flavobacterium sp. UBA7663
ptg000282l	1	35188	35188	EXCLUDE	prok:b-proteobacteria	95	Hydrogenophaga aromaticivorans
ptg000283l	1	40325	40325	REVIEW	prok:b-proteobacteria	40	Hydrogenophaga aromaticivorans
ptg000285l	1	24480	24480	EXCLUDE	prok:b-proteobacteria	95	Hydrogenophaga pseudoflava
ptg000286l	1	27322	27322	EXCLUDE	prok:CFB group bacteria	100	Flavobacterium proteolyticum
ptg000287l	1	33504	33504	EXCLUDE	prok:CFB group bacteria	100	Flavobacterium celericrescens
ptg000292l	1	27819	27819	EXCLUDE	prok:b-proteobacteria	97	Hydrogenophaga taeniospiralis
ptg000293l	1	30380	30380	EXCLUDE	prok:b-proteobacteria	85	Rhodoferax lacus
