locus_tag	ftype	length_bp	gene	EC_number	COG	product
BAMDCOFK_00120	CDS	2880	rapA	3.6.4.-		RNA polymerase-associated protein RapA
BAMDCOFK_00121	CDS	1542	mrdA_1	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
BAMDCOFK_00122	CDS	696				hypothetical protein
BAMDCOFK_00123	CDS	441				hypothetical protein
BAMDCOFK_00124	CDS	498				hypothetical protein
BAMDCOFK_00125	CDS	936	ctaA	1.3.-.-		Heme A synthase
BAMDCOFK_00126	CDS	339	nqrF	7.2.1.1		Na(+)-translocating NADH-quinone reductase subunit F
BAMDCOFK_00127	CDS	780	crt	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
BAMDCOFK_00128	CDS	1107				hypothetical protein
BAMDCOFK_00129	CDS	840				hypothetical protein
BAMDCOFK_00130	CDS	924				hypothetical protein
BAMDCOFK_00131	CDS	1239	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
BAMDCOFK_00132	CDS	1179				hypothetical protein
BAMDCOFK_00133	CDS	1962	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
BAMDCOFK_00134	CDS	951	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
BAMDCOFK_00135	CDS	1875				hypothetical protein
BAMDCOFK_00136	CDS	1110				hypothetical protein
BAMDCOFK_00137	CDS	486	rnhA	3.1.26.4	COG0328	Ribonuclease H
BAMDCOFK_00138	CDS	621				hypothetical protein
BAMDCOFK_00139	CDS	555				hypothetical protein
BAMDCOFK_00140	CDS	597				hypothetical protein
BAMDCOFK_00141	CDS	1074				hypothetical protein
BAMDCOFK_00142	CDS	1185				hypothetical protein
BAMDCOFK_00143	CDS	519				hypothetical protein
BAMDCOFK_00144	CDS	744	COQ3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
BAMDCOFK_00145	CDS	1503				hypothetical protein
BAMDCOFK_00146	CDS	1506				hypothetical protein
BAMDCOFK_00147	CDS	327				hypothetical protein
BAMDCOFK_00148	CDS	354				hypothetical protein
BAMDCOFK_00149	CDS	738				hypothetical protein
BAMDCOFK_00150	CDS	1467	trg_1		COG0840	Methyl-accepting chemotaxis protein III
BAMDCOFK_00151	CDS	1467				hypothetical protein
BAMDCOFK_00152	CDS	8355	lgrD			Linear gramicidin synthase subunit D
BAMDCOFK_00153	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
BAMDCOFK_00154	CDS	1326	pepQ	3.4.13.9		Xaa-Pro dipeptidase
BAMDCOFK_00155	CDS	648				hypothetical protein
BAMDCOFK_00156	CDS	813	ywpJ	3.1.3.-	COG0561	Phosphatase YwpJ
BAMDCOFK_00157	CDS	2451	leuS	6.1.1.4		Leucine--tRNA ligase
BAMDCOFK_00158	CDS	555				hypothetical protein
BAMDCOFK_00159	CDS	729				hypothetical protein
BAMDCOFK_00160	CDS	2352	ftsK		COG1674	DNA translocase FtsK
BAMDCOFK_00161	CDS	1386				hypothetical protein
BAMDCOFK_00162	CDS	1971	ligA	6.5.1.2	COG0272	DNA ligase
BAMDCOFK_00163	CDS	1104				hypothetical protein
BAMDCOFK_00164	tRNA	77				tRNA-Arg(cct)
BAMDCOFK_00165	CDS	228				hypothetical protein
BAMDCOFK_00166	CDS	957				hypothetical protein
BAMDCOFK_00167	CDS	1092				hypothetical protein
BAMDCOFK_00168	CDS	1299				hypothetical protein
BAMDCOFK_00169	CDS	1263				hypothetical protein
BAMDCOFK_00170	CDS	855	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
BAMDCOFK_00171	CDS	855	ytnP	3.1.1.-	COG0491	putative quorum-quenching lactonase YtnP
BAMDCOFK_00172	CDS	1599				hypothetical protein
BAMDCOFK_00173	CDS	2013	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
BAMDCOFK_00174	CDS	861	comC			Type 4 prepilin-like proteins leader peptide-processing enzyme
BAMDCOFK_00175	CDS	444	smpB			SsrA-binding protein
BAMDCOFK_00176	CDS	462				hypothetical protein
BAMDCOFK_00177	CDS	645				hypothetical protein
BAMDCOFK_00178	CDS	219				hypothetical protein
BAMDCOFK_00179	CDS	372				hypothetical protein
BAMDCOFK_00180	CDS	897	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
BAMDCOFK_00181	CDS	1200	dapC	2.6.1.17	COG0436	putative N-succinyldiaminopimelate aminotransferase DapC
BAMDCOFK_00182	CDS	1029	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
BAMDCOFK_00183	CDS	264				hypothetical protein
BAMDCOFK_00184	CDS	1077	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
BAMDCOFK_00185	CDS	666	ftsH_2	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
BAMDCOFK_00186	CDS	861	folP	2.5.1.15	COG0294	Dihydropteroate synthase
BAMDCOFK_00187	CDS	954				hypothetical protein
BAMDCOFK_00188	CDS	1167				IS200/IS605 family transposase ISPa83
BAMDCOFK_00189	CDS	414				hypothetical protein
BAMDCOFK_00190	CDS	1482				hypothetical protein
BAMDCOFK_00191	CDS	1425				hypothetical protein
BAMDCOFK_00192	CDS	894				hypothetical protein
BAMDCOFK_00193	CDS	102				hypothetical protein
BAMDCOFK_00194	CDS	594				hypothetical protein
BAMDCOFK_00195	CDS	1257	ddl_1	6.3.2.4		D-alanine--D-alanine ligase
BAMDCOFK_00196	CDS	2274	acnA	4.2.1.3	COG1048	Aconitate hydratase A
BAMDCOFK_00197	tRNA	76				tRNA-Glu(ttc)
BAMDCOFK_00198	tRNA	78				tRNA-Glu(ttc)
BAMDCOFK_00199	CDS	2091				hypothetical protein
BAMDCOFK_00200	CDS	1365	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
BAMDCOFK_00201	CDS	465	fis			DNA-binding protein Fis
BAMDCOFK_00202	CDS	1110	ychF		COG0012	Ribosome-binding ATPase YchF
BAMDCOFK_00203	CDS	651	nth	4.2.99.18	COG0177	Endonuclease III
BAMDCOFK_00204	CDS	2895				hypothetical protein
BAMDCOFK_00205	CDS	2223				hypothetical protein
BAMDCOFK_00206	CDS	822				hypothetical protein
BAMDCOFK_00207	tRNA	77				tRNA-Gly(gcc)
BAMDCOFK_00208	CDS	2274				hypothetical protein
BAMDCOFK_00209	tRNA	74				tRNA-Gln(ctg)
BAMDCOFK_00210	CDS	1482	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
BAMDCOFK_00211	CDS	1569				hypothetical protein
BAMDCOFK_00212	CDS	534				hypothetical protein
BAMDCOFK_00213	CDS	252				hypothetical protein
BAMDCOFK_00214	CDS	306				hypothetical protein
BAMDCOFK_00215	CDS	2124	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
BAMDCOFK_00216	CDS	654	def	3.5.1.88	COG0242	Peptide deformylase
BAMDCOFK_00217	CDS	501				hypothetical protein
BAMDCOFK_00218	CDS	1590				hypothetical protein
BAMDCOFK_00219	CDS	1011				hypothetical protein
BAMDCOFK_00220	tRNA	77				tRNA-Arg(tct)
BAMDCOFK_00221	CDS	1836				hypothetical protein
BAMDCOFK_00222	CDS	1284	lptD			LPS-assembly protein LptD
BAMDCOFK_00223	CDS	1323	fpgS	6.3.2.17		Folylpolyglutamate synthase
BAMDCOFK_00224	CDS	885	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
BAMDCOFK_00225	CDS	4200				hypothetical protein
BAMDCOFK_00226	CDS	3138	bamA_1			Outer membrane protein assembly factor BamA
BAMDCOFK_00227	CDS	1080	dusB_1	1.3.1.-		tRNA-dihydrouridine synthase B
BAMDCOFK_00228	CDS	645				hypothetical protein
BAMDCOFK_00229	CDS	2019				hypothetical protein
BAMDCOFK_00230	CDS	453				hypothetical protein
BAMDCOFK_00231	CDS	3126				hypothetical protein
BAMDCOFK_00232	CDS	1128				hypothetical protein
BAMDCOFK_00233	CDS	303				hypothetical protein
BAMDCOFK_00234	CDS	1395				hypothetical protein
BAMDCOFK_00235	CDS	1446	crtP	1.14.99.-		4,4'-diaponeurosporene oxygenase
BAMDCOFK_00236	CDS	546				hypothetical protein
BAMDCOFK_00237	CDS	1137				hypothetical protein
BAMDCOFK_00238	CDS	2073				hypothetical protein
BAMDCOFK_00239	CDS	1542	crtI	1.3.99.31	COG1233	Phytoene desaturase (lycopene-forming)
BAMDCOFK_00240	CDS	936				hypothetical protein
BAMDCOFK_00241	CDS	1770				hypothetical protein
BAMDCOFK_00242	CDS	879				hypothetical protein
BAMDCOFK_00243	CDS	390				hypothetical protein
BAMDCOFK_00244	CDS	900				hypothetical protein
BAMDCOFK_00245	CDS	921	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
BAMDCOFK_00246	CDS	366				hypothetical protein
BAMDCOFK_00247	CDS	1998				hypothetical protein
BAMDCOFK_00248	CDS	204				hypothetical protein
BAMDCOFK_00249	CDS	1440				hypothetical protein
BAMDCOFK_00250	CDS	3123	mdtB_1			Multidrug resistance protein MdtB
BAMDCOFK_00251	CDS	294				hypothetical protein
BAMDCOFK_00252	CDS	660				hypothetical protein
BAMDCOFK_00253	CDS	2028				hypothetical protein
BAMDCOFK_00254	CDS	1167			COG3177	putative protein
BAMDCOFK_00255	CDS	273				hypothetical protein
BAMDCOFK_00256	CDS	273				hypothetical protein
BAMDCOFK_00257	CDS	870				hypothetical protein
BAMDCOFK_00258	CDS	792				hypothetical protein
BAMDCOFK_00259	CDS	1464				hypothetical protein
BAMDCOFK_00260	CDS	2472				hypothetical protein
BAMDCOFK_00261	CDS	1194				hypothetical protein
BAMDCOFK_00262	CDS	546				hypothetical protein
BAMDCOFK_00263	CDS	474				hypothetical protein
BAMDCOFK_00264	CDS	381				hypothetical protein
BAMDCOFK_00265	CDS	870				hypothetical protein
BAMDCOFK_00266	CDS	723				hypothetical protein
BAMDCOFK_00267	CDS	3063				hypothetical protein
BAMDCOFK_00268	CDS	1347				hypothetical protein
BAMDCOFK_00269	CDS	1596				hypothetical protein
BAMDCOFK_00270	CDS	708				hypothetical protein
BAMDCOFK_00271	CDS	873				hypothetical protein
BAMDCOFK_00272	CDS	741	artI_1		COG0834	Putative ABC transporter arginine-binding protein 2
BAMDCOFK_00273	CDS	504				hypothetical protein
BAMDCOFK_00274	CDS	1317				hypothetical protein
BAMDCOFK_00275	CDS	402				hypothetical protein
BAMDCOFK_00276	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
BAMDCOFK_00277	CDS	273				hypothetical protein
BAMDCOFK_00278	CDS	543				hypothetical protein
BAMDCOFK_00279	CDS	801	cysQ	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
BAMDCOFK_00280	CDS	612				hypothetical protein
BAMDCOFK_00281	CDS	2784	topB	5.6.2.1		DNA topoisomerase 3
BAMDCOFK_00282	tRNA	77				tRNA-Met(cat)
BAMDCOFK_00283	CDS	588				hypothetical protein
BAMDCOFK_00284	CDS	474				hypothetical protein
BAMDCOFK_00285	CDS	453				hypothetical protein
BAMDCOFK_00286	CDS	450				hypothetical protein
BAMDCOFK_00287	CDS	375	crcB			Putative fluoride ion transporter CrcB
BAMDCOFK_00288	CDS	1212				hypothetical protein
BAMDCOFK_00289	CDS	423				hypothetical protein
BAMDCOFK_00290	CDS	828				hypothetical protein
BAMDCOFK_00291	CDS	654				hypothetical protein
BAMDCOFK_00292	CDS	1521	acoD	1.2.1.3	COG1012	Acetaldehyde dehydrogenase 2
BAMDCOFK_00293	CDS	177				hypothetical protein
BAMDCOFK_00294	CDS	798				hypothetical protein
BAMDCOFK_00295	CDS	1191				hypothetical protein
BAMDCOFK_00296	CDS	864				hypothetical protein
BAMDCOFK_00297	CDS	2280				hypothetical protein
BAMDCOFK_00298	CDS	4179				hypothetical protein
BAMDCOFK_00299	CDS	7233				hypothetical protein
BAMDCOFK_00300	CDS	756				hypothetical protein
BAMDCOFK_00301	CDS	858				hypothetical protein
BAMDCOFK_00302	CDS	849				hypothetical protein
BAMDCOFK_00303	CDS	1107	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
BAMDCOFK_00304	CDS	858	cpoB_1			Cell division coordinator CpoB
BAMDCOFK_00305	CDS	852	motB		COG1360	Motility protein B
BAMDCOFK_00306	CDS	741	pomA		COG1291	Chemotaxis protein PomA
BAMDCOFK_00307	CDS	390				hypothetical protein
BAMDCOFK_00308	CDS	822	lpxH	3.6.1.54		UDP-2,3-diacylglucosamine hydrolase
BAMDCOFK_00309	CDS	345				hypothetical protein
BAMDCOFK_00310	CDS	609	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
BAMDCOFK_00311	CDS	516	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
BAMDCOFK_00312	CDS	183				hypothetical protein
BAMDCOFK_00313	CDS	726	ccsA			Cytochrome c biogenesis protein CcsA
BAMDCOFK_00314	CDS	732				hypothetical protein
BAMDCOFK_00315	CDS	678	ykoD	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
BAMDCOFK_00316	CDS	687	fnr		COG0664	Fumarate and nitrate reduction regulatory protein
BAMDCOFK_00317	CDS	1497	dacC	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacC
BAMDCOFK_00318	CDS	585	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
BAMDCOFK_00319	CDS	690	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
BAMDCOFK_00320	CDS	849				hypothetical protein
BAMDCOFK_00321	CDS	1887	htpG		COG0326	Chaperone protein HtpG
BAMDCOFK_00322	CDS	987				hypothetical protein
BAMDCOFK_00323	CDS	249				hypothetical protein
BAMDCOFK_00324	CDS	642				hypothetical protein
BAMDCOFK_00325	CDS	111				hypothetical protein
BAMDCOFK_00326	CDS	1626				hypothetical protein
BAMDCOFK_00327	CDS	1449	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
BAMDCOFK_00328	CDS	495				hypothetical protein
BAMDCOFK_00329	CDS	966	pnoA	1.13.12.-		Nitronate monooxygenase
BAMDCOFK_00330	rRNA	1530				16S ribosomal RNA
BAMDCOFK_00331	tRNA	76				tRNA-Ala(tgc)
BAMDCOFK_00332	rRNA	2887				23S ribosomal RNA
BAMDCOFK_00333	rRNA	77				5S ribosomal RNA (partial)
BAMDCOFK_00334	CDS	1422	dbpA_1	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
BAMDCOFK_00335	CDS	1281				hypothetical protein
BAMDCOFK_00336	CDS	2175				hypothetical protein
BAMDCOFK_00337	CDS	720				hypothetical protein
BAMDCOFK_00338	CDS	975	fliM		COG1868	Flagellar motor switch protein FliM
BAMDCOFK_00339	CDS	429				hypothetical protein
BAMDCOFK_00340	CDS	1056				hypothetical protein
BAMDCOFK_00341	CDS	834				hypothetical protein
BAMDCOFK_00342	CDS	276				hypothetical protein
BAMDCOFK_00343	CDS	819	fliR		COG1684	Flagellar biosynthetic protein FliR
BAMDCOFK_00344	CDS	1086	flhB		COG1377	Flagellar biosynthetic protein FlhB
BAMDCOFK_00345	CDS	2115	flhA		COG1298	Flagellar biosynthesis protein FlhA
BAMDCOFK_00346	CDS	1395	ftsY_1			Signal recognition particle receptor FtsY
BAMDCOFK_00347	CDS	918	ylxH		COG0455	Flagellum site-determining protein YlxH
BAMDCOFK_00348	CDS	819	fliA		COG1191	RNA polymerase sigma factor FliA
BAMDCOFK_00349	CDS	405	cheY_2		COG0784	Chemotaxis protein CheY
BAMDCOFK_00350	CDS	468				hypothetical protein
BAMDCOFK_00351	CDS	609				hypothetical protein
BAMDCOFK_00352	CDS	1215				hypothetical protein
BAMDCOFK_00353	CDS	1251				hypothetical protein
BAMDCOFK_00354	CDS	1932				hypothetical protein
BAMDCOFK_00355	CDS	1287				hypothetical protein
BAMDCOFK_00356	CDS	564	ybeY	3.1.-.-		Endoribonuclease YbeY
BAMDCOFK_00357	CDS	1383	bamB			Outer membrane protein assembly factor BamB
BAMDCOFK_00358	CDS	786				hypothetical protein
BAMDCOFK_00359	CDS	321	csrA			Translational regulator CsrA
BAMDCOFK_00360	CDS	1350	murAA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
BAMDCOFK_00361	tRNA	77				tRNA-Val(tac)
BAMDCOFK_00362	tRNA	77				tRNA-Val(tac)
BAMDCOFK_00363	CDS	681				hypothetical protein
BAMDCOFK_00364	CDS	1041				hypothetical protein
BAMDCOFK_00365	CDS	1092				hypothetical protein
BAMDCOFK_00366	CDS	732				hypothetical protein
BAMDCOFK_00367	CDS	795				hypothetical protein
BAMDCOFK_00368	CDS	951	rlmK	2.1.1.264	COG1092	Ribosomal RNA large subunit methyltransferase K
BAMDCOFK_00369	CDS	927				hypothetical protein
BAMDCOFK_00370	CDS	372				hypothetical protein
BAMDCOFK_00371	CDS	1758				hypothetical protein
BAMDCOFK_00372	CDS	336				hypothetical protein
BAMDCOFK_00373	CDS	1878	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
BAMDCOFK_00374	tRNA	91				tRNA-Ser(gga)
BAMDCOFK_00375	CDS	324	rplU		COG0261	50S ribosomal protein L21
BAMDCOFK_00376	CDS	267	rpmA		COG0211	50S ribosomal protein L27
BAMDCOFK_00377	CDS	1053	cgtA	3.6.5.-	COG0536	GTPase Obg/CgtA
BAMDCOFK_00378	CDS	474	rsfS			Ribosomal silencing factor RsfS
BAMDCOFK_00379	CDS	510	rlmH	2.1.1.177		Ribosomal RNA large subunit methyltransferase H
BAMDCOFK_00380	CDS	732				hypothetical protein
BAMDCOFK_00381	CDS	414	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
BAMDCOFK_00382	CDS	1374				hypothetical protein
BAMDCOFK_00383	CDS	732	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
BAMDCOFK_00384	CDS	723	lptA			Lipopolysaccharide export system protein LptA
BAMDCOFK_00385	CDS	633				hypothetical protein
BAMDCOFK_00386	CDS	579	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
BAMDCOFK_00387	CDS	1359	menF_1	5.4.4.2		Isochorismate synthase MenF
BAMDCOFK_00388	CDS	777	amn	3.2.2.4	COG0775	AMP nucleosidase
BAMDCOFK_00389	CDS	732	queE	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
BAMDCOFK_00390	CDS	927				hypothetical protein
BAMDCOFK_00391	CDS	927	hag_1		COG1344	Flagellin
BAMDCOFK_00392	CDS	2952				hypothetical protein
